camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,yii_mean_Fv/Fm,yii_median_Fv/Fm,yii_max_Fv/Fm,yii_mode_Fv/Fm,yii_mean_Fq'/Fm',yii_median_Fq'/Fm',yii_max_Fq'/Fm',yii_mode_Fq'/Fm',npq_mean_NPQ,npq_median_NPQ,npq_max_NPQ,npq_mode_NPQ,mean_index_ari,med_index_ari,std_index_ari,mean_index_ndvi,med_index_ndvi,std_index_ndvi,mean_index_ci_rededge,med_index_ci_rededge,std_index_ci_rededge
PSII,HDR,10312021,none,none,none,none,None,8,none,H,none,HLP,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_HLP_H_8.INF,default,True,226523.0,251224.5,0.9016755929457517,2287.1626797914505,583,599,4224,39,True,588.068115234375,538.096923828125,159.8009490966797,0.4033975345557155,0.833498395675008,0.8344387435865348,1.0,0.8300000000000001,0.4725861648525917,0.4800469483568075,0.8987554658594012,0.5,1.0148749283575846,1.0075189446157187,4.605978260869565,1.0,8.075693130493164,7.534753799438477,3.824535608291626,0.7509002089500427,0.7509595155715942,0.06092008575797081,3.607956647872925,3.5530591011047363,0.6440916061401367
PSII,HDR,10312021,none,none,none,none,None,1,none,C,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_C_1.INF,default,True,326691.0,370107.5,0.8826921907824078,2737.5201061964035,785,610,5271,49,True,758.3417358398438,597.81103515625,83.93804168701172,0.6152737689757684,0.8282760193286998,0.8293746692329876,1.0,0.8300000000000001,0.5357695318956699,0.5439052459710574,0.8962944541158916,0.55,0.6514107941720939,0.6217908819048898,2.9237576582709326,0.57,8.03146743774414,7.219438552856445,3.890717029571533,0.7470721006393433,0.7449172735214233,0.06287027895450592,3.736116409301758,3.6765589714050293,0.7478976249694824
PSII,HDR,10312021,none,none,none,none,None,2,none,C,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_C_2.INF,default,True,319595.0,376194.0,0.8495483713190535,2764.9587049484253,766,711,5163,48,True,714.0609741210938,630.7166748046875,76.43353271484375,0.4688434930889085,0.8265955413362756,0.827073552425665,0.9891304347826086,0.8200000000000001,0.5193963686217609,0.5247351997557897,0.8584929122108929,0.53,0.7199225832369778,0.6944745395449621,2.822258238789843,0.63,7.576331615447998,6.773929595947266,3.7194600105285645,0.7389742732048035,0.7343232035636902,0.060935813933610916,3.5246737003326416,3.4695701599121094,0.682289183139801
PSII,HDR,10312021,none,none,none,none,None,3,none,C,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_C_3.INF,default,True,377531.0,417254.0,0.9047989953361741,2839.402356028557,784,754,5361,57,True,745.060791015625,690.5133056640625,49.950374603271484,0.375585194997712,0.8229291393077998,0.8231788759889037,1.0,0.8200000000000001,0.5256665753764013,0.5305692072001644,0.9074137341988384,0.53,0.7231628556486869,0.7001382149048863,2.6606982990152193,0.6599999999999999,8.516371726989746,7.610895156860352,3.998223066329956,0.7474949359893799,0.7432625889778137,0.05751330778002739,3.76074481010437,3.6522631645202637,0.7127835750579834
PSII,HDR,10312021,none,none,none,none,None,4,none,C,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_C_4.INF,default,True,395040.0,447319.5,0.8831271607877591,3208.3628138303757,795,815,5677,44,True,788.4682006835938,682.0252685546875,38.7731819152832,0.5017712593354509,0.8251984585108894,0.8251644091785991,1.0,0.8200000000000001,0.5388227091764654,0.5436241610738255,0.9352209352209352,0.55,0.6644471246941984,0.6381004366812226,2.839156960621187,0.57,8.924684524536133,8.081223487854004,4.187170028686523,0.7562947869300842,0.7510966062545776,0.055349912494421005,3.9165546894073486,3.8020975589752197,0.713310956954956
PSII,HDR,10312021,none,none,none,none,None,5,none,H,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_H_5.INF,default,True,304770.0,362767.5,0.8401248733693067,2684.8338145017624,760,687,5124,50,True,683.2786865234375,638.3367919921875,93.51766204833984,0.3566813258181953,0.8294638756598758,0.8309462326410295,1.0,0.8300000000000001,0.4770582826048181,0.49121245828698556,0.8749361919346605,0.5,0.8770576482860717,0.8195627655983098,4.590725806451613,0.75,9.132853507995605,8.132322311401367,5.312008380889893,0.7405605316162109,0.7408492565155029,0.07521995902061462,4.018901348114014,3.9008238315582275,1.1059396266937256
PSII,HDR,10312021,none,none,none,none,None,6,none,H,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_H_6.INF,default,True,328147.0,394350.5,0.8321201570683947,3023.7526421546936,803,731,5542,41,True,749.7266235351562,635.52734375,102.13375091552734,0.5305098482616085,0.8325469186797979,0.8330206378986866,1.0,0.8300000000000001,0.47265645153733044,0.48314606741573035,1.0,0.5,0.9014812588767908,0.8544898405068821,4.9626467449306295,0.8,10.796036720275879,9.579703330993652,5.457263469696045,0.7689516544342041,0.7630372047424316,0.06132550165057182,4.271203517913818,4.149228096008301,0.9667614698410034
PSII,HDR,10312021,none,none,none,none,None,7,none,H,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_H_7.INF,default,True,320658.0,361474.5,0.8870833212301282,2596.726168990135,751,693,5146,52,True,726.509521484375,615.3768920898438,73.82451629638672,0.5315417260761676,0.8384346804380284,0.8387692307692308,1.0,0.8300000000000001,0.521180918249927,0.5244956772334294,0.9121725731895224,0.52,0.6966981420054168,0.6773367477592829,3.0097035040431264,0.6,11.187240600585938,9.874550819396973,5.433967590332031,0.7615026831626892,0.7501382231712341,0.06364541500806808,4.352691650390625,4.172761917114258,0.9520139098167419
PSII,HDR,10312021,none,none,none,none,None,8,none,H,none,WT,2D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10312021_2D_WT_H_8.INF,default,True,372390.0,427166.5,0.8717678001435037,2949.5272464752197,739,784,5704,54,True,764.086669921875,690.7780151367188,6.035858154296875,0.42741159826071246,0.8297727662505121,0.8318444972977532,1.0,0.8300000000000001,0.48615558685760485,0.4966774503549437,0.9199856476498026,0.52,0.8940988251618747,0.8638508252798193,4.35448136958711,0.75,10.0917387008667,8.810057640075684,5.651049613952637,0.7532256245613098,0.752418041229248,0.07429277896881104,4.112471580505371,3.9848225116729736,1.115101933479309
PSII,HDR,11012021,none,none,none,none,None,3,none,C,none,WT,3D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_11012021_3D_WT_C_3.INF,default,True,410382.0,457148.0,0.897700525869084,2935.5688766241074,821,734,5575,43,True,785.4765625,708.3292236328125,72.26219940185547,0.43218960080384206,0.8440090637518732,0.8303213341791509,1.0,0.8200000000000001,0.5252727469004912,0.5289024104844372,0.919578947368421,0.53,0.7040611984104467,0.6843133424496972,2.9313566206336312,0.63,9.230356216430664,8.323847770690918,4.226536273956299,0.757581889629364,0.7550361752510071,0.056182075291872025,3.943002223968506,3.8329217433929443,0.7338936924934387
PSII,HDR,11012021,none,none,none,none,None,6,none,H,none,WT,3D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_11012021_3D_WT_H_6.INF,default,False,358375.0,425403.5,0.8424354759657595,3067.232871055603,748,789,5584,44,False,778.8924560546875,663.8078002929688,37.121307373046875,0.5231416146430868,0.8328810146740886,0.83347083087802,0.9955654101995566,0.8300000000000001,0.46666611051949103,0.47352424666349857,0.8680391495106311,0.47000000000000003,0.8795650650601671,0.8546860066749004,4.981308411214953,0.8,12.226835250854492,11.071662902832031,5.931351184844971,0.7766495943069458,0.7712644934654236,0.059742528945207596,4.486575603485107,4.384758949279785,0.9554909467697144
PSII,HDR,11012021,none,none,none,none,None,7,none,H,none,WT,3D,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_11012021_3D_WT_H_7.INF,default,True,345349.0,384447.5,0.8982995077351263,2667.176960349083,782,738,5406,54,True,736.563232421875,639.8995971679688,65.00973510742188,0.4952263788269876,0.8367835832633307,0.8372202591283864,1.0,0.8300000000000001,0.5177582414893461,0.5219527172244397,0.9427012278308322,0.53,0.6799682520406068,0.6588425738567381,2.651697699890471,0.63,12.301996231079102,10.878332138061523,6.086352348327637,0.76927649974823,0.7604148387908936,0.06352000683546066,4.549391269683838,4.39184045791626,1.0020726919174194
